Дата	Номер	Контрагент	Сумма	ПП создано	Статус оплаты	Оплата	Поступление	Дата входящего документа	Номер входящего документа	Комментарий	Номенклатура	Количество	Номенклатура.Единица	Цена	Сумма	% НДС	НДС	Всего	Доп информация
11.01.2023 17:41:22	0000-000014	Пластик-Север ООО	18 097,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	139	160	Держатель стальной для труб (Дн 31... 36мм) Т'с сантехшпилькой (М8)	20,000	шт	45,00	900,00	20%	180,00	1 080	
11.01.2023 17:41:22	0000-000014	Пластик-Север ООО	18 097,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	139	160	Держатель стальной для труб (Дн 87... 92,мм) 3", М8, б/к	20,000	шт	37,92	758,33	20%	151,67	910	
11.01.2023 17:41:22	0000-000014	Пластик-Север ООО	18 097,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	139	160	Затвор дисковый поворотный м/ф DN150, чугун, PN16, Tmax=1 10 °C, с рукояткой, Китай	2,000	шт	1 591,67	3 183,33	20%	636,67	3 820	
11.01.2023 17:41:22	0000-000014	Пластик-Север ООО	18 097,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	139	160	Прокладка кольцевая паронитовая Ду150 Ру 10-16	4,000	шт	44,17	176,67	20%	35,33	212	
11.01.2023 17:41:22	0000-000014	Пластик-Север ООО	18 097,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	139	160	Фланец ПВХ 160 Hidroten, Испания 1010032	4,000	шт	725,00	2 900,00	20%	580,00	3 480	
11.01.2023 17:41:22	0000-000014	Пластик-Север ООО	18 097,00	Нет	Оплачен полностью	Не оплачен	Не получен	11.01.2023	139	160	Шпилька полн. резьба М16х 1000, оцинк. сталь DIN 975, к.п.4,8	15,000	шт	197,50	2 962,50	20%	592,50	3 555	
12.01.2023 17:21:11	0000-000015	Пластик-Север ООО	27 800,00	Нет	Не оплачен	Не оплачен	Не получен	12.01.2023	234	#Документ загружен из сервиса Entera.pro	Труба ПВХ 63 х 4,7мм (1,6 МПа) SDR 13,6 напор.с растр.под клей, L=3 м	10,000	шт	1 109,17	11 091,67	20%	2 218,33	13 310	Удален
12.01.2023 17:21:11	0000-000015	Пластик-Север ООО	27 800,00	Нет	Не оплачен	Не оплачен	Не получен	12.01.2023	234	#Документ загружен из сервиса Entera.pro	Угольник ПВХ 63x90° под клей, Hidroten, Испания 1001005	60,000	шт	168,33	10 100,00	20%	2 020,00	12 120	Удален
12.01.2023 17:21:11	0000-000015	Пластик-Север ООО	27 800,00	Нет	Не оплачен	Не оплачен	Не получен	12.01.2023	234	#Документ загружен из сервиса Entera.pro	Шпилька полн. резьба М16х 1000, оцинк. сталь DIN 975, к.п.4,8	10,000	шт	197,50	1 975,00	20%	395,00	2 370	Удален
12.01.2023 17:21:12	0000-000016	Пластик-Север ООО	27 909,00	Нет	Не оплачен	Не оплачен	Не получен	12.01.2023	234	160	Труба ПВХ 63 х 4,7мм (1,6 МПа) SDR 13,6 напор.с растр.под клей, L=3 м	10,000	шт	1 109,17	11 091,67	20%	2 218,33	13 310	
12.01.2023 17:21:12	0000-000016	Пластик-Север ООО	27 909,00	Нет	Не оплачен	Не оплачен	Не получен	12.01.2023	234	160	Угольник ПВХ 63x90° под клей, Hidroten, Испания 1001005	60,000	шт	168,33	10 100,00	20%	2 020,00	12 120	
12.01.2023 17:21:12	0000-000016	Пластик-Север ООО	27 909,00	Нет	Не оплачен	Не оплачен	Не получен	12.01.2023	234	160	Угольник ПП 63x90 (бел)	1,000	шт	90,83	90,83	20%	18,17	109	
12.01.2023 17:21:12	0000-000016	Пластик-Север ООО	27 909,00	Нет	Не оплачен	Не оплачен	Не получен	12.01.2023	234	160	Шпилька полн. резьба М16х 1000, оцинк. сталь DIN 975, к.п.4,8	10,000	шт	197,50	1 975,00	20%	395,00	2 370	
13.01.2023 15:54:17	0000-000017	АО "ТЕЛЕОФИС"	27 340,00	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	212	#Документ загружен из сервиса Entera.pro	Антенна 4G TELEOFIS RC40 SMA, магнит	2,000	шт	1 200,00	2 400,00	20%	480,00	2 880	Удален
13.01.2023 15:54:17	0000-000017	АО "ТЕЛЕОФИС"	27 340,00	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	212	#Документ загружен из сервиса Entera.pro	Блок питания TELEOFIS PS12-1000 (L)	2,000	шт	491,67	983,33	20%	196,67	1 180	Удален
13.01.2023 15:54:17	0000-000017	АО "ТЕЛЕОФИС"	27 340,00	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	212	#Документ загружен из сервиса Entera.pro	Роутер 4G TELEOFIS LT50	1,000	шт	9 500,00	9 500,00	20%	1 900,00	11 400	Удален
13.01.2023 15:54:17	0000-000017	АО "ТЕЛЕОФИС"	27 340,00	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	212	#Документ загружен из сервиса Entera.pro	Роутер 4G TELEOFIS LT51	1,000	шт	9 900,00	9 900,00	20%	1 980,00	11 880	Удален
13.01.2023 15:54:18	0000-000018	АО "ТЕЛЕОФИС"	4 000,00	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	211	164	Ремонт оборудования	1,000	шт	3 333,33	3 333,33	20%	666,67	4 000	
13.01.2023 15:54:18	0000-000019	Пластик-Север ООО	17 364,00	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	281	160	Лен сантехнический (200 г)	1,000	шт	303,33	303,33	20%	60,67	364	
13.01.2023 15:54:18	0000-000019	Пластик-Север ООО	17 364,00	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	281	160	Отвод электросварной 160x90°, ПЭ100 SDR11, RADIUS	2,000	шт	7 083,34	14 166,67	20%	2 833,33	17 000	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Выключатель концевой TZ-8111 PROxima EKF tz8 111	2,000	шт	450,04	900,08	20%	180,02	1 080,1	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Зажим наборный ЗНИ-4мм2 (JXB35A) серый | SQ0803-0001 | TDM	40,000	шт	12,48	499,33	20%	99,87	599,2	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Кабельный ввод, пластик V0 UL94, IP65, +130 - 40, 50 отверстий | R5HTC50 | DKC	6,000	шт	2 263,82	13 582,90	20%	2 716,58	16 299,48	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Контакт сигнальный вспомогательный AL-X1 для NXB-63 (R) CHINT 814990	6,000	шт	309,47	1 856,80	20%	371,36	2 228,16	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Контактор КМИ-11210 12A 230B/AC3 1НО | ККМ11-012-230-10 | IEK	8,000	шт	499,25	3 994,00	20%	798,80	4 792,8	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Провод ПуГВ 1x6 Ж/3 450/750В (бухта) (м)	45,000	м	50,72	2 282,25	20%	456,45	2 738,7	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Пускатель ПРК32-6.3 ln6.3А Ir4-6.3A Ue 660В IEK DMS11-D63 4	4,000	шт	1 219,81	4 879,23	20%	975,85	5 855,08	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Пускатель ручной кнопочный ПРК32-4 In =4A lr=2,5-4A Ue 660В | DMS11-004 | IEK	4,000	шт	1 227,80	4 911,20	20%	982,24	5 893,44	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Термостат NC (обогрев) на DIN -рейку 10А 230В IP20 PROxima EKF TNC10M	1,000	шт	303,44	303,44	20%	60,69	364,13	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Термостат NO (охлаждение) на DIN -рейку 10А 230В IP20 PROxima EKF TNO10M	1,000	шт	303,44	303,44	20%	60,69	364,13	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Труба гофрированная ПНД безгалогенная (HF) черная с/з д16 (100м/5500м уп/пал) | PR. 021651 | Строите	200,000	м	8,42	1 683,33	20%	336,67	2 020	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Труба гофрированная ПНД безгалогенная (HF) черная с/з д20 (100м/4800м уп/пал) | PR. 022051 | Строите	200,000	м	11,01	2 201,67	20%	440,33	2 642	
13.01.2023 16:05:22	0000-000020	ЭКС ООО	60 445,54	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	Р23-782	72,164,160	Щит с монтажной панелью ЩМП-2-0 IP66 (500x400x220) | SQ0905-0084 | TDM	3,000	шт	4 324,53	12 973,60	20%	2 594,72	15 568,32	
13.01.2023 16:05:22	0000-000021	АО "ТЕЛЕОФИС"	46 560,00	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	212	164,160	Роутер 4G TELEOFIS LT50	2,000	шт	9 500,00	19 000,00	20%	3 800,00	22 800	
13.01.2023 16:05:22	0000-000021	АО "ТЕЛЕОФИС"	46 560,00	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	212	164,160	Роутер 4G TELEOFIS LT51	2,000	шт	9 900,00	19 800,00	20%	3 960,00	23 760	
13.01.2023 16:05:23	0000-000026	АО "ТРАНСКЕМИКЛ-ЭКСПРЕСС"	52 034,78	Нет	Не оплачен	Не оплачен	Не получен	13.01.2023	166	144,145,149,160,164,165	Водорода пероксид марка Б-6 30%	0,176	т	246 376,82	43 362,32	20%	8 672,46	52 034,78	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Бурт (втулка) под фланец ПВХ 110 под клей, Hidroten, Испания 1010134	9,000	шт	330,83	2 977,50	20%	595,50	3 573	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Кольцо переходное ПВХ 110x63 под клей, Hidroten, Испания 1001196	4,000	шт	235,83	943,33	20%	188,67	1 132	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Кольцо переходное ПВХ 110x75 под клей, Hidroten, Испания 1001197	2,000	шт	241,67	483,33	20%	96,67	580	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Кольцо переходное ПВХ 160x110 под клей, Hidroten, Испания 1001125	2,000	шт	676,67	1 353,33	20%	270,67	1 624	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Кольцо переходное ПВХ 75x40 под клей, Hidroten, Испания 1001183	2,000	шт	104,17	208,33	20%	41,67	250	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Кран шаровой ПВХ 63 под клей, PIMTAS, Турция 202 00 063 2	5,000	шт	880,00	4 400,00	20%	880,00	5 280	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Муфта ПВХ 110 под клей, Hidroten, Испания 1001044	6,000	шт	583,33	3 500,00	20%	700,00	4 200	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Муфта ПВХ с внутр.резьб. 40/32x1" под клей, PIMTAS, Турция 518 00 032 2	2,000	шт	29,17	58,33	20%	11,67	70	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Тройник ПВХ 110x110x90° под клей, Hidroten, Испания 1001032	2,000	шт	1 156,67	2 313,33	20%	462,67	2 776	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Тройник ПВХ 160x160x90° под клей, PIMTAS, Турция 504 00 160 2	4,000	шт	1 716,67	6 866,67	20%	1 373,33	8 240	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Труба ПВХ 110 х 5,3мм (1,3 МПа) SDR 21 напор.с растр.под клей, L=3 м	2,000	шт	2 195,00	4 390,00	20%	878,00	5 268	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Угольник ПВХ 110x45° под клей, Hidroten, Испания 1001020	10,000	шт	721,67	7 216,67	20%	1 443,33	8 660	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Угольник ПВХ 110x90° под клей, Hidroten, Испания 1001008	30,000	шт	626,67	18 800,00	20%	3 760,00	22 560	
16.01.2023 10:05:31	0000-000022	Пластик-Север ООО	69 353,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	349	160	Фланец ПВХ 110 Hidroten, Испания 1010029	10,000	шт	428,33	4 283,33	20%	856,67	5 140	
16.01.2023 11:53:47	0000-000023	Пластик-Север ООО	580,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	362	160	Прокладка кольцевая паронитовая ДуЮО Ру 10-16	20,000	шт	24,17	483,33	20%	96,67	580	
16.01.2023 11:53:47	0000-000025	Пластик-Север ООО	1 738,00	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	358	160	Седелка с внутрен.резьбой ПВХ 110 х 1" (4 болта), PIMTAS, Турция 529 00 11032 2	2,000	шт	724,17	1 448,33	20%	289,67	1 738	
16.01.2023 18:01:53	0000-000027	ООО "ФАВОРИТ-ЭЛЕКТРО"	106 304,45	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	1922	#Документ загружен из сервиса Entera.pro	Двухуровневый зажим клеммный безвинтовой (ДЗКБ) 4 мм2 40А серый TDM	200,000	шт	73,64	14 728,33	20%	2 945,67	17 674	Удален
16.01.2023 18:01:53	0000-000027	ООО "ФАВОРИТ-ЭЛЕКТРО"	106 304,45	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	1922	#Документ загружен из сервиса Entera.pro	Дополнительный контакт поперечный ДКП32-11 TDM	100,000	шт	213,74	21 374,17	20%	4 274,83	25 649	Удален
16.01.2023 18:01:53	0000-000027	ООО "ФАВОРИТ-ЭЛЕКТРО"	106 304,45	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	1922	#Документ загружен из сервиса Entera.pro	Заглушка для ЗКБ 4 мм2 серая TDM	20,000	шт	8,62	172,33	20%	34,47	206,8	Удален
16.01.2023 18:01:53	0000-000027	ООО "ФАВОРИТ-ЭЛЕКТРО"	106 304,45	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	1922	#Документ загружен из сервиса Entera.pro	КМН-11210 12A230B/AC3 1HOTDM	22,000	шт	289,12	6 360,57	20%	1 272,11	7 632,68	Удален
16.01.2023 18:01:53	0000-000027	ООО "ФАВОРИТ-ЭЛЕКТРО"	106 304,45	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	1922	#Документ загружен из сервиса Entera.pro	КМН-11810 18A230B/AC3 1HOTDM	4,000	шт	323,58	1 294,33	20%	258,87	1 553,2	Удален
16.01.2023 18:01:53	0000-000027	ООО "ФАВОРИТ-ЭЛЕКТРО"	106 304,45	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	1922	#Документ загружен из сервиса Entera.pro	Концевой выключатель ВККН-2110М11-У2 кнопочный толкатель 5А 1з+1р IP65TDM	6,000	шт	350,75	2 104,50	20%	420,90	2 525,4	Удален
16.01.2023 18:01:53	0000-000027	ООО "ФАВОРИТ-ЭЛЕКТРО"	106 304,45	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	1922	#Документ загружен из сервиса Entera.pro	Модульный распределительный блок на DIN -рейку МРБ-100 2П 100А 2x7 групп TDM	3,000	шт	246,14	738,42	20%	147,69	886,11	Удален
16.01.2023 18:01:53	0000-000027	ООО "ФАВОРИТ-ЭЛЕКТРО"	106 304,45	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	1922	#Документ загружен из сервиса Entera.pro	Модульный распределительный блок на DIN -рейку МРБ-100 4П 100А 4x7 групп TDM	2,000	шт	438,12	876,23	20%	175,25	1 051,48	Удален
16.01.2023 18:01:53	0000-000027	ООО "ФАВОРИТ-ЭЛЕКТРО"	106 304,45	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	1922	#Документ загружен из сервиса Entera.pro	Пускатель ПРК32-4 ln=4A Iг=2,5-4А Ue 660В TDM	10,000	шт	993,31	9 933,08	20%	1 986,62	11 919,7	Удален
16.01.2023 18:01:53	0000-000027	ООО "ФАВОРИТ-ЭЛЕКТРО"	106 304,45	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	1922	#Документ загружен из сервиса Entera.pro	Пускатель ПРК32-6,3 Iп=6,ЗА Iг=4-6,3A Ue 660В TDM	10,000	шт	987,29	9 872,92	20%	1 974,58	11 847,5	Удален
16.01.2023 18:01:53	0000-000027	ООО "ФАВОРИТ-ЭЛЕКТРО"	106 304,45	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	1922	#Документ загружен из сервиса Entera.pro	Розетка с заземляющим контактом РАр10-3-ОП Shuko TDM	12,000	шт	115,45	1 385,40	20%	277,08	1 662,48	Удален
16.01.2023 18:01:53	0000-000027	ООО "ФАВОРИТ-ЭЛЕКТРО"	106 304,45	Нет	Не оплачен	Не оплачен	Не получен	16.01.2023	1922	#Документ загружен из сервиса Entera.pro	ЩМП-2-0 IP66 (500x400x220) TDM	5,000	шт	3 949,35	19 746,75	20%	3 949,35	23 696,1	Удален
16.01.2023 18:01:54	0000-000030	ООО "ФАВОРИТ-ЭЛЕКТРО"	88 423,65	Нет	Оплачен полностью	Не оплачен	Не получен	16.01.2023	1922	164	Дополнительный контакт поперечный ДКП32-11 TDM	100,000	шт	213,74	21 374,17	20%	4 274,83	25 649	
